basis,series_id,common_start_date,common_end_date,common_settled_days,annualized_modeled_pnl_mean_to_stdev,limit_delta_ratio,modeled_pnl_es10,total_modeled_pnl,worst_day_modeled_pnl,max_modeled_pnl_drawdown,limit_pnl_per_withheld_mw,rank_eligible,rank,rank_reason,proof_id
full_displayed_history,series-01,2026-01-01,2026-09-19,254,2.8567549458,-0.3473334625,-15257.2163846154,336816.2579999996,-55795.1574999999,-77844.7199999999,-2.1973933986,true,4,"ordered by frozen risk, limit, tail, fill, and P&L metrics",5f92a43d91b29112d06a2ccc16f5106931e0538eb1b487db33fc56c81f57d614
full_displayed_history,series-02,2026-01-01,2026-09-19,254,3.5212375353,-0.2462335279,-16111.5891346154,423322.3300000003,-46687.4374999999,-63546.0099999999,-2.1735703441,true,3,"ordered by frozen risk, limit, tail, fill, and P&L metrics",edaf21e6963a60b89ef3303941c8fc12d3bc363755a5672348b62c67e548fce7
full_displayed_history,series-03,2026-01-01,2026-09-19,254,3.9874012581,-0.2403797233,-11967.0919230769,426705.4425,-21567.2125,-78566.3224999999,-2.1579215168,true,1,"ordered by frozen risk, limit, tail, fill, and P&L metrics",a77a8b4c6d8e8800ac8a863df7c312c013cfb61fd1653b67b5aba6f9b324495f
full_displayed_history,series-04,2026-01-01,2026-09-19,254,3.671350198,-0.036461948,-12048.9365384615,515489.4650000002,-28904.7725,-72686.4400000001,-0.8749381101,true,2,"ordered by frozen risk, limit, tail, fill, and P&L metrics",5dd6ebfe2f80af0f28efcfafa9e378deeb770e022c03be767feaab5db5c8eddf
prospective_shadow,series-01,2026-09-12,2026-09-19,6,-6.9062413065,0.2080520696,-5197.495,-6125.64,-5197.495,-7505.41,0.2293825799,true,4,"ordered by frozen risk, limit, tail, fill, and P&L metrics",fa87eef1190e5f5de6d28b124a63e40e46cb37db46a851ccddc10049b3c86450
prospective_shadow,series-02,2026-09-12,2026-09-19,6,3.6759949181,0.5114893341,-3754.6075,2786.7,-3754.6075,-3754.6075,0.5566696113,true,2,"ordered by frozen risk, limit, tail, fill, and P&L metrics",bb3bb0df7eb82bdb8962442f18a42cbefc4a45ced7c661c93126be872a69d12b
prospective_shadow,series-03,2026-09-12,2026-09-19,6,6.6461943599,0.1245831244,-4301.2425,6337.065,-4301.2425,-4301.2425,0.2425164745,true,1,"ordered by frozen risk, limit, tail, fill, and P&L metrics",f4ad209fdfc237a0ea73f5c315637ae3b90dcc1c6f1eb1ac48d5f9e0a697d8d2
prospective_shadow,series-04,2026-09-12,2026-09-19,6,-1.2863795434,0.2294608568,-4279.5625,-1116.4225,-4279.5625,-6100.6375,0.3305407524,true,3,"ordered by frozen risk, limit, tail, fill, and P&L metrics",5abd733888bad8bff385aa57cca481c706cedd4901427e81d1db660c24337ea1
2026_h1,series-01,2026-01-01,2026-06-30,176,3.629536732,-0.4602151512,-13767.9479722222,293895.7629999995,-24046.585,-47521.6425,-2.3865416597,true,1,"ordered by frozen risk, limit, tail, fill, and P&L metrics",202bd79142aa6b961db46e6ca2b439a5db7bc5aa5372123f9fb2fe34f119fca1
2026_h1,series-02,2026-01-01,2026-06-30,176,3.5975661963,-0.2958097448,-16817.9904166667,319675.7950000002,-39222.5825,-55855.945,-2.2520138073,true,2,"ordered by frozen risk, limit, tail, fill, and P&L metrics",596710553f6eb2a0116bb2aa3fcffbdb7be7188d77c61be7d20f2cba48102403
2026_h1,series-03,2026-01-01,2026-06-30,176,3.3645362083,-0.2808525149,-12933.4223611111,283578.6475,-21567.2125,-78566.3224999999,-2.2703980522,true,3,"ordered by frozen risk, limit, tail, fill, and P&L metrics",e0d6d4e08b656d8e29d33fa8aa3294ac4f02c12e5b5876d4ebc261c2c8cf773b
2026_h1,series-04,2026-01-01,2026-06-30,176,3.1855276792,-0.075048541,-12886.3823611111,355247.0350000001,-28904.7725,-72686.4400000001,-0.9916740916,true,4,"ordered by frozen risk, limit, tail, fill, and P&L metrics",0ee1eebed56a381049807082e71dc03c14369939ef75dd2a796600bfb54ffe09
2026_h2_to_date,series-01,2026-07-01,2026-09-19,78,1.1614204999,-0.0299778799,-18373.839375,42920.4950000001,-55795.1574999999,-77844.7199999999,-0.4941992845,true,4,"ordered by frozen risk, limit, tail, fill, and P&L metrics",b3e9dbb1a3545bc2ad8901ff77b63a67a9968e4bf2fab9c073789bac37c859c4
2026_h2_to_date,series-02,2026-07-01,2026-09-19,78,3.3613397827,-0.1281486519,-13265.685625,103646.5350000002,-46687.4374999999,-63546.0099999998,-1.3605818674,true,3,"ordered by frozen risk, limit, tail, fill, and P&L metrics",abb256abe25f756be0a8660b0d9876add1e6cb3f0cdb63a77ee8b7aba44b2eeb
2026_h2_to_date,series-03,2026-07-01,2026-09-19,78,7.3744095934,-0.1657364274,-8125.1009375,143126.795,-14839.9625,-31065.4725,-1.5147796209,true,1,"ordered by frozen risk, limit, tail, fill, and P&L metrics",2952c09b742688e8ebc473d79e1ca478f8c4de973d2eca337cbbf5c30c080e15
2026_h2_to_date,series-04,2026-07-01,2026-09-19,78,6.7892798029,0.0661397134,-9389.1146875,160242.4300000001,-14779.6625,-36863.835,0.6892845047,true,2,"ordered by frozen risk, limit, tail, fill, and P&L metrics",18c78f8b04040316e9dc83ff6b14fd50539a5410acd019ca2d04488cf3565bb0
