series_id,date,signal_date,evidence_basis,status,pnl,gross_pnl,cumulative_pnl,pnl_drawdown,placed_mwh,awarded_mwh,fill_rate,decision_proof_id,settlement_proof_id,proof_id
series-01,2026-01-01,2025-12-31,retrospective_reconstruction,settled,-2251.19,-2251.19,-2251.19,-2251.19,800,780,0.975,8f958c26ad62bf11d08cb65dd63855ef0590fc2fa06be30e3ad21b5f7e20e0fb,0da6abce7cb4b56fcc887b84e0bf4346c2fe1f1f3d9e74fcff9465105cc82c6b,e2cdbbef2d14fb493efd50f97c5d41d2d1fc148ed8ae738cc5d1183de047cbda
series-02,2026-01-01,2025-12-31,retrospective_reconstruction,settled,-2251.19,-2251.19,-2251.19,-2251.19,800,780,0.975,195edd2123ddfed1a29e287875a3fefb20c6d619a3eebf785d2557ae8a76b618,1e95209b0bed07251bb115be862c606ceba015f46f9222fbb0964fa3d3e89b65,8842f3d3cf67f4d7d09b1c6025b2f03206f81dde6d0e4288c625ac82f41988c6
series-01,2026-01-02,2026-01-01,retrospective_reconstruction,settled,10823.6,10823.6,8572.41,0,800,786,0.9825,f98029aa49601b3be2ac1ebf06a544995414ac74e3dd6d40ba64794ed2b78d13,2917b93ca12c8c0d4efc1b66ef66acd33dcd65c6f35e70390952c9276ee31e80,b47338f487dcebc665935c3689a64cc83532939bb9ca31a7f6cf62203ab29dca
series-02,2026-01-02,2026-01-01,retrospective_reconstruction,settled,10823.6,10823.6,8572.41,0,800,786,0.9825,69834e20511ff76cccabf6e52f51c712c300415f8d0be2caf94aec0afcae85af,24121fc25f16209cf155fc8895489abd14266bb1df0cdb6033a14b50cb3333db,a3faa708a3a9345af60dbe21dffd1d20b71b28c5bca1750e24d6262d187e65d7
series-01,2026-01-03,2026-01-02,retrospective_reconstruction,settled,-1135.6375,-1135.6375,7436.7725,-1135.6375,800,679,0.84875,752e4761dda6197580494bc6e11027ce4b8b36833a758bdb773dec51cb97306d,efe5797e04663ee5ca7484db5c6e95b11e7d8d4fefb3f3daeb9145dc6a2dc73b,0ad89b9eac09349af94ff9df1ce04887cf18b0b56de244f776004546a693c40a
series-02,2026-01-03,2026-01-02,retrospective_reconstruction,settled,-1135.6375,-1135.6375,7436.7725,-1135.6375,800,679,0.84875,06ebe2889d81d6cf0364a1cfa2de2756db389e3a8a3443dbd692c428e337cb59,2076382f4b00807ecc9c604a2eff82ea8bdb9eb68f3030a8573dcdea87c0972b,b5dd33b97c664682ad46e5ed525fb93715a7ab08ad54e1a0afa6b90f69958479
series-01,2026-01-04,2026-01-03,retrospective_reconstruction,settled,2701.505,2701.505,10138.2775,0,800,652,0.815,6130dae87053051791dddafa5a036c38a7c40c8086b9b974539d897f126ec7c4,822e0ba021471bef7df83f47d56d96c29055315b0875971cb2fd6502d8a43561,d46abd98d83b8cf5980544eaa9c24989442a14f0c362b399842813319ce98763
series-02,2026-01-04,2026-01-03,retrospective_reconstruction,settled,2701.505,2701.505,10138.2775,0,800,652,0.815,825a618227efe19c48330ed2636fc5adf9c76e04aee58c3f8ff6abf4f400d888,70a2a95935b01bd37394db06cbdb4537822c2418afe40d99c4fbb43c5f4ffbe5,20d786e82b897c54321a0a20dfb520ec2b5457839b15c69898f3ea277159e641
series-01,2026-01-05,2026-01-04,retrospective_reconstruction,settled,-21243.56,-21243.56,-11105.2825,-21243.56,800,779,0.97375,6096498fead48596569fc7b0a0f76481eda9d54e2e2b4f2abf2ce3ef9ea3a918,06976e8a7454ca73b88937da4fbe7971ff2e52f5a2b31394ca0c3a2058f77710,3eb4e05a7628af05a79fb97a6b1ddfe3f73c7cbf09ddc310df66066c8db60fd5
series-02,2026-01-05,2026-01-04,retrospective_reconstruction,settled,-21243.56,-21243.56,-11105.2825,-21243.56,800,779,0.97375,48a91fe3d79ce12c0562f37cc5da62abe74606ec9550af06b23a1d730fca49e0,e74ce3f870fe281dcc05ef82f77b5215e901a7d17edc16af29fe8fe0e50efc03,bcd7a451c3daf64a574c6f269bd754e409e5f8c4af0ad3950564216388644f2b
series-01,2026-01-06,2026-01-05,retrospective_reconstruction,settled,6084.9675,6084.9675,-5020.315,-15158.5925,800,800,1,4d28342c371af1b6bfd7abe996eae075782ed6b4fbc2e8496857535fb92f3a03,f58da617aa41f9102a16a6dde073f19d2bb409c032a8b95b4da72b709b306f19,7f616317e08e930ebf11deb5153a0970d9da3367ed0942b14fae100838eafdf0
series-02,2026-01-06,2026-01-05,retrospective_reconstruction,settled,6084.9675,6084.9675,-5020.315,-15158.5925,800,800,1,690093d2acc80828c42298cd8bcca2092aecb6a1efdd16d5fd1f858d1afeb1a3,f85545b1192e88b14b1a58badf2652a430f53e092efa1de7531d439d8437e446,8290f8d27e047e3a410e47ba45a6a6615b2b2ea5d2812ef17a75c22a97832aa4
series-01,2026-01-07,2026-01-06,retrospective_reconstruction,settled,-6898.6025,-6898.6025,-11918.9175,-22057.195,800,790,0.9875,db51127cc02e7ae2bf19530139f24cb6fa2d4ceb4431bc408096e394606ebcbe,b9ad89358dad57375c43b989c199fddd136fe92c7ce85f86ae76f9f9f2fb38a7,06cde3a9ddf1513220005b378b0fe48ce43e5c9159197c7e20ce0f25b59c6257
series-02,2026-01-07,2026-01-06,retrospective_reconstruction,settled,-1427.8775,-1427.8775,-6448.1925,-16586.47,160,160,1,1378efef834ee2ce411dbd46f21d8fb0d5ada1765f02de47ea7792d87e740bec,3726e59b551759bfad90484cfd88ba2ae5942058384177ff80a159805b80f1b3,6b9e1ec50d47aa1875be8cacd93d942bbd37ef1f644a548566d61abdfce41202
series-01,2026-01-08,2026-01-07,retrospective_reconstruction,settled,-14219.285,-14219.285,-26138.2025,-36276.48,800,734,0.9175,163671d9f06205c5d20133afeab5bb903144d3524ac97d27aaa1c632ad8c6fa5,0e09d08631c746becf2a355bcebbf8ab8aedaf4a81ffebd129a5c3642faf9297,471245c57822f1767080deba54b4c45a5f04cd61cd913dea2854fb4b87e69718
series-02,2026-01-08,2026-01-07,retrospective_reconstruction,settled,-14219.285,-14219.285,-20667.4775,-30805.755,800,734,0.9175,4520a6ca4d1cdd5390f7495c5530f25fbca30e5808924774e1c4fa9774276b94,36122d06884da3f2fa7b5222ebffc50516a8e563d72c7629a6ea22576407ef54,d049d03669de1b0ce7a162595ebff7ac3143284f0d681f968242db2c90af7efc
series-01,2026-01-09,2026-01-08,retrospective_reconstruction,settled,11212.7625,11212.7625,-14925.44,-25063.7175,800,796,0.995,7019414d566cda9a01abc50a28d41f32cc7fbdac553ee0212e5dc464f29db72c,bf25ec5649b6a293fb6f5f2850557369bd15ae7e2f037fe69ed006766aa8a496,36cc8bfafa0a9353fb2b59a9f040fefaae8f89904d42e7adcb5bac9ccae276a1
series-02,2026-01-09,2026-01-08,retrospective_reconstruction,settled,11212.7625,11212.7625,-9454.715,-19592.9925,800,796,0.995,7908145dcdb3c23f9f8f575637305d10bf64bdc6981740462c8bac9b47dc2721,13f61b567444a84e4479497494fbca0cc1584e60a2131c7227bd4264addbf30f,ed1c7382112f312407dafa912a19cace711dd7926e603dfbe4a5c74f850cb87c
series-01,2026-01-10,2026-01-09,retrospective_reconstruction,settled,15880.1825,15880.1825,954.7425,-9183.535,800,751,0.93875,9bcaea80669b43a40590ad5e231d9ac7e10b79a8e6eadb9744b60ea7755ccb67,db3b4ab3ee581d41ab5de959bcd4883b6f0846e7c551b3476b0721c18dc61506,5870611b68aa254849dc32f098237d4cb64dedd691ff1fa2df1332854d40305f
series-02,2026-01-10,2026-01-09,retrospective_reconstruction,settled,15880.1825,15880.1825,6425.4675,-3712.81,800,751,0.93875,acf56cd5e8436aca267b967b1daac8d49e6d25eefb27a1201fe9a9107fc9eb04,f3c1e74b97e786d3367a254c9d240d00778d1dfa4dc354bf712ae36b28e99400,5da260ff12b697d085b24078ab978aa80439e37dcd6800a31c71e8d246899eae
series-01,2026-01-11,2026-01-10,retrospective_reconstruction,settled,-24853.33,-24853.33,-23898.5875,-34036.865,800,795,0.99375,9e1107b927eb45be43412589bf8599d94253d6278086bba4245feb3f336e0d25,5b400fc4211b69a0b407aa924b7ce445d5ff8c214f7019d76c8db475f9bfdf0a,bdc5287459085faf8117e2bb587294b97e695e3026fd73f702989bdddb209edc
series-02,2026-01-11,2026-01-10,retrospective_reconstruction,settled,-24853.33,-24853.33,-18427.8625,-28566.14,800,795,0.99375,b9d5069723b36af0c6c20ba021b397eb007f3b1189a9364e15d79c320df9b7f7,0265933d722b402e3d75fbcc2bc0a88b7e0a71321d08d1ae107af212a34935ec,c6f0f7ef52367d4542cf247617b1e4ac20e785b5ece0aaf4061f218a19f344d1
series-01,2026-01-12,2026-01-11,retrospective_reconstruction,settled,2757.04,2757.04,-21141.5475,-31279.825,800,800,1,33e1382a10d0b29b3d797fbf4b0115c7a6cfebccf244ec2c01e62ff36605d45b,c4f552c8d68750619c42d63acd5cb14b629f47c4d8102a677fdf427c5c98e02d,688a33cce3294f33db297a48070e175bac80090ff074989a04dfc2bef1a760b7
series-02,2026-01-12,2026-01-11,retrospective_reconstruction,settled,2757.04,2757.04,-15670.8225,-25809.1,800,800,1,87412a2193e721cca960bb98807a005ff47dc7b8acd9358decc149431eecb381,345d047424b6c9761f7b16dea8a5c1cb8916b6807cf60f32792c2a44b0196154,7e9102d3ef2e61e3c3c66fb5e07b8365ff3ecbd128fcfec9a3ab1be273dc2654
