date,signal_date,status,modeled_pnl,cumulative_modeled_pnl,modeled_pnl_drawdown,days_since_equity_high,proof_id
2026-02-01,2026-01-31,settled,4355.18,4355.18,0.00,0,e9a97e20b1555418731d6451341bc5e415520af5de8944a577506c2253a50679
2026-02-02,2026-02-01,settled,1152.04,5507.22,0.00,0,ecffee6fb2ea2700b813aad53cc2431d9cba057188a3142b4f979f4ae9f3b1bd
2026-02-03,2026-02-02,settled,1796.53,7303.75,0.00,0,8fa83bd2ef088f09eb09206b48fcacb2bce45ea8622d436434595acd427379c9
2026-02-04,2026-02-03,settled,1455.83,8759.58,0.00,0,bc7d1c0d619b87b24cfe081d17140fab494f45eca32307a004c9a4a1ee16de63
2026-02-05,2026-02-04,settled,3203.12,11962.70,0.00,0,c90e511a3d7cc3a87830c5ba9ab832a09c7ca4cfca31a09b49b0ba90ddb08734
2026-02-06,2026-02-05,settled,-38214.92,-26252.22,-38214.92,1,9783cf798a31d734052773343e3b5580f45b48eebfcef712f87fdbab6ae94af0
2026-02-07,2026-02-06,settled,-23037.19,-49289.41,-61252.11,2,4d094a7d7ccdd20c7df61756c394102ccd304c1fc3548e5f990f0bcb4caac2d7
2026-02-08,2026-02-07,settled,4174.05,-45115.36,-57078.06,3,bc095619e4cdd84c604eb6c9c247cb37d2d38df79012c5b5b382668b736eea78
2026-02-09,2026-02-08,settled,-13161.38,-58276.74,-70239.44,4,0dc6bf54c24e85ab29a7570bbb9883fc8b63c80b6665daec3d3793f16f4f963f
2026-02-10,2026-02-09,settled,6588.35,-51688.39,-63651.09,5,495b7d3e54b68986b91751073ca344ffe57000c53d8cf1ef6795e59acffb7a7a
2026-02-11,2026-02-10,settled,5441.81,-46246.58,-58209.28,6,80d7646f30db6e7a1de14ce004916cd81b9cb2cbf58b9f9c0d41c45e74a71b0f
2026-02-12,2026-02-11,settled,10235.01,-36011.57,-47974.27,7,0023b71efbdb775dd4164443754e0ab44ae6d13619015f8c5da692a831dcacd7
2026-02-13,2026-02-12,settled,-4445.72,-40457.29,-52419.99,8,6045848afd70ebf3da91969ace9d0a29bbdff0b2fa57b233df551be5ccee78ce
2026-02-14,2026-02-13,settled,8160.36,-32296.93,-44259.63,9,c4d529dee92fcd0a996d858846711d00447b16f35138198898767148c95de0e2
2026-02-15,2026-02-14,settled,35051.06,2754.13,-9208.57,10,0bb8fca3076bc435c29bef7e0f99b28aec3683f4a4e7ebbcf19d739685d6337f
2026-02-16,2026-02-15,settled,8770.62,11524.75,-437.95,11,550b3b890203893227299f2a030864c08d700672d304270f97c083b9cfc06fe1
2026-02-17,2026-02-16,settled,5516.93,17041.68,0.00,0,62cd4188a6585008db3fb8c029d64a84398fab7e542ce3ba08a18529102da06b
2026-02-18,2026-02-17,settled,12177.56,29219.24,0.00,0,f20263447280c0030ab76da4609511f53a767c01b4768e58e38b75824a81c651
2026-02-19,2026-02-18,settled,-4784.99,24434.25,-4784.99,1,29799aed64eeed8c6f530289dbf6f667bcdbc0226ba9c101bb1ebc9c1dfc09a0
2026-02-20,2026-02-19,settled,23528.05,47962.30,0.00,0,101e71f79b86b9b2a73342c40e44960db4e8b8ba86d1d8b3b34b7558c18c3b37
2026-02-21,2026-02-20,settled,5397.80,53360.10,0.00,0,a93a957f633f4240dfa5946b7d920b205b89567f35508a103ce611eb65764f32
2026-02-22,2026-02-21,settled,2063.41,55423.51,0.00,0,69595b43c525740cf5e303fa6ca9f209ce63ec7affaca90cdc909453b92a8fe5
2026-02-23,2026-02-22,settled,2458.67,57882.18,0.00,0,1669792e919ddce5211455c72875fcf4d96e558e323bdcc1b59509d7e510ed73
2026-02-24,2026-02-23,settled,4073.76,61955.94,0.00,0,d268df87a067c769ca080f0c23634fb71b5fb4b08f5bd87f02145259cbfe6c9e
2026-02-25,2026-02-24,settled,-4113.79,57842.15,-4113.79,1,324c4cb0864ed38ff149c7f988c06f1dbbefa025745b4ddeeff1179334d083ef
2026-02-26,2026-02-25,settled,9512.78,67354.93,0.00,0,fb00d5363065fa5f2bd47dfbe09d2ccc8675545eddc80379602ea8579c0f7c5c
2026-02-27,2026-02-26,settled,3419.97,70774.90,0.00,0,ab14189af5efe8dccb01257b03284d8c3b1fb6b5b2a2b6b5ba957aca05ed70c6
2026-02-28,2026-02-27,settled,2420.54,73195.44,0.00,0,128a4dcf54e7b5c34b7baa9665d8f07fae2414862c1b8aabf6ff0b6dd039b8a3
2026-03-01,2026-02-28,settled,4252.72,77448.16,0.00,0,9640d6b9d7367a127115f1a8de196c58f5c18dbf0ada8119b8873026fc6b0388
2026-03-02,2026-03-01,settled,443.62,77891.78,0.00,0,58a94c560e094eb5c8abe433dea1f4fe7d9a22d347e3c3a4c27046f926a61ed1
2026-03-03,2026-03-02,settled,-20922.12,56969.66,-20922.12,1,ad12b3e06d7fa1ab2ea760ae048afb3ceaa01609c33df2ebe72c32f5618a43c9
2026-03-04,2026-03-03,settled,-5762.09,51207.57,-26684.21,2,f7518e8c77c828752281e9f516820b57d4b84a51b6bdf94de4c42755a8528651
2026-03-05,2026-03-04,settled,-759.00,50448.57,-27443.21,3,f2f684b00aefc69baff627b705f390d1c7b4e746e734d9208ba5181135181aff
2026-03-06,2026-03-05,settled,268.12,50716.69,-27175.09,4,4db566036c6a0c55c82569673b72057411515d80c478b6e850c924eccfb02c15
2026-03-07,2026-03-06,settled,-2869.32,47847.37,-30044.41,5,68d1827d32bcfea1c52cbf78f4c588837580ce026ca50f3fdc2d9516cd1b042b
2026-03-08,2026-03-07,settled,7617.65,55465.02,-22426.76,6,d51af3ea5210552380aae2be4fa85e25cc73d684530303e61c3c9fe28242336f
2026-03-09,2026-03-08,settled,-35.85,55429.17,-22462.61,7,7436e195bed66239dc66a0fd9e128cfa3af62ca6f88010063b23a8e2d059187c
2026-03-10,2026-03-09,settled,152.19,55581.36,-22310.42,8,d2ad761b7eff6ea331cad9ee1d69cd3299ef547a738c70803d8e9d73eff82b74
