period_start,period_end,status,calendar_days,settled_days,pnl,mean_day_pnl,worst_day_pnl,fill_rate,proof_id
2026-01-01,2026-01-04,settled,4,4,10138.2775,2534.569375,-2251.19,0.9053125,b428c7bf5b1c32e8d5dd9b905c4c008a85da11af6f266ffb36df233ec523b22c
2026-01-05,2026-01-11,settled,7,7,-28566.14,-4080.8771428571,-24853.33,0.970766129,136af0e280e61dbddbdfa42b10dc820ee4d3fe173d2ec5827fd00c1891b6a42e
2026-01-12,2026-01-18,settled,7,7,43370.31,6195.7585714286,-5743.055,0.9728571429,af23ff2fa7ec4d53d531952ccc3d12bfd4671a5d804173c9b31e8063f1c185a8
2026-01-19,2026-01-25,settled,7,7,72218.0675,10316.8667857143,344.27,0.9668478261,3ddbd5f1b9617c7b0614888490114d22f89914f451ac965060bcad7b454e5428
2026-01-26,2026-02-01,settled,7,7,46927.1725,6703.8817857143,-4108.54,0.8383333333,37bcb0076ae4bbca4e89e5f273d73bfdc9da58057a7e7cad1909b5a9ffa855ac
2026-02-02,2026-02-08,settled,7,7,-45875.26,-6553.6085714286,-30830.24,0.9733695652,021d1e1cd21b6284569fde56b39ab58efb75b2b01c9ca9d07ac1f54521a31731
2026-02-09,2026-02-15,settled,7,7,27266.2224999999,3895.1746428571,-1757.67,0.9035714286,345254252675e4a9266c5a1fde69ba52bf8ad2bd25a35016a73fbae5a344dca8
2026-02-16,2026-02-22,settled,7,7,36580.94,5225.8485714286,-2559.6575,0.8641129032,934dce74d428760ae5065828424eed91dea1f62351bc4b9fc6866b48fd874acf
2026-02-23,2026-03-01,settled,7,7,14573.215,2081.8878571429,-2084.435,0.7410714286,42c823b7fca0ecbaccc60c21c2d740378c6774dd87cd74d48ccaa40d51b39db5
2026-03-02,2026-03-08,settled,7,7,-33346.9425,-4763.8489285714,-12937.7675,0.8425,e7d082ccd378723eb881e6316cb4289d9486046b76f77779a6385e7a6e7ad955
2026-03-09,2026-03-15,settled,7,7,36520.215,5217.1735714286,-6031.8975,0.8303571429,0f056ed209a276c1dfcf72d5f596e40793f098ad587e2e813e6b1016ecc5ddd5
2026-03-16,2026-03-22,settled,7,7,42991.08,6141.5828571429,-298.84,0.7377016129,c46e1a96d4a9440efdd06198f66bb0f5ed76138a01f64f115535067fce1b133f
2026-03-23,2026-03-29,settled,7,7,34195.6225,4885.0889285714,-2527.775,0.5758064516,70e2cd94630f56963153f0d18159a32a009d5dcc816aac71309416e0393bf017
2026-03-30,2026-04-05,settled,7,7,20274.1375,2896.3053571429,-3689.025,0.7175925926,437610ebada5a194e62d8167dbd4847e6c256e9871f5ec86b3124c55db4dd350
2026-04-06,2026-04-12,settled,7,7,-331.7025,-47.3860714286,-18048.525,0.7628571429,aba2f5a9399d4106d95e1029ad6f925a5eef2adbf55bab8ac55ce623db79fef1
2026-04-13,2026-04-19,settled,7,7,-6347.1725,-906.7389285714,-12003.545,0.8792763158,bf48ccd2835815e1472d1118edd1a86e54da24a329e52fda6631260ebe4cd768
