period_start,period_end,status,settled_days,pending_days,total_days,modeled_pnl,cumulative_modeled_pnl,mean_day_modeled_pnl,median_day_modeled_pnl,win_days,loss_days,win_rate,avg_win_modeled_pnl,avg_loss_modeled_pnl,payoff_ratio,profit_factor,best_day_modeled_pnl,worst_day_modeled_pnl,period_max_modeled_pnl_drawdown,top_day_share,proof_id
2026-02-01,2026-02-01,settled,1,0,1,4355.18,4355.18,4355.18,4355.18,1,0,1.000000,4355.18,,,,4355.18,4355.18,0.00,1.000000,b2cfd853287c4c6eb3c6cc1367ade1acf851337043cf2500f955712c419cef8d
2026-02-02,2026-02-08,settled,7,0,7,-49470.54,-45115.36,-7067.22,1455.83,5,2,0.714286,2356.31,-30626.06,0.076938,0.192346,4174.05,-38214.92,-61252.11,,23a49f02dea5edc568814ec02d056da1783c098a6014b80ab5520786cbe8ef17
2026-02-09,2026-02-15,settled,7,0,7,47869.49,2754.13,6838.50,6588.35,5,2,0.714286,13095.32,-8803.55,1.487504,3.718761,35051.06,-13161.38,-13161.38,0.732221,46c933ceefede26ae03462cb028ce7b53a67d5552cd0327d12e7bf2cad5e5b45
2026-02-16,2026-02-22,settled,7,0,7,52669.38,55423.51,7524.20,5516.93,6,1,0.857143,9575.73,-4784.99,2.001201,12.007208,23528.05,-4784.99,-4784.99,0.446712,8d9305f35785f25be835cc94b0fc2e14a150de10130466c7ce913b509e45f0d1
2026-02-23,2026-03-01,settled,7,0,7,22024.65,77448.16,3146.38,3419.97,6,1,0.857143,4356.41,-4113.79,1.058976,6.353859,9512.78,-4113.79,-4113.79,0.431915,bc2ceedae95ba5dbce19b796576553021cf5a045a4eb37c40a255c9ee1761544
2026-03-02,2026-03-08,settled,7,0,7,-21983.14,55465.02,-3140.45,-759.00,3,4,0.428571,2776.46,-7578.13,0.366378,0.274784,7617.65,-20922.12,-30044.41,,fb0320447a4afbc87d2c43cee5d7526fcb19050e19148f667a11d4e4391b3b17
2026-03-09,2026-03-15,settled,7,0,7,30815.02,86280.04,4402.15,1388.06,5,2,0.714286,8394.71,-5579.27,1.504627,3.761566,19791.97,-11122.68,-11122.68,0.642283,64619471c1878fd1b3b2439de4a8837d1eacffe539e7f50ce61fd948978bdddd
2026-03-16,2026-03-22,settled,7,0,7,80208.03,166488.07,11458.29,11616.93,6,1,0.857143,14147.95,-4679.65,3.023292,18.139750,22511.21,-4679.65,-4679.65,0.280660,ba6e4dc2f07da9422b0230c3a4419e52bad8259010f8458ffd1a8e1e8be1ecd7
2026-03-23,2026-03-29,settled,7,0,7,38450.03,204938.10,5492.86,3487.71,7,0,1.000000,5492.86,,,,16177.47,1728.76,0.00,0.420740,c46512588ae801f2db2a39b9b87569f695d64da5a74e9aec85e399085024c43a
2026-03-30,2026-04-05,settled,7,0,7,17778.94,222717.04,2539.85,2561.02,4,3,0.571429,6605.99,-2881.67,2.292416,3.056555,14716.57,-7959.62,-7959.62,0.827753,4768548e445d3685fe168a4054c527db80f947e450abb6f0d883c531b2c22343
2026-04-06,2026-04-12,settled,7,0,7,-8312.91,214404.13,-1187.56,464.09,4,3,0.571429,10732.33,-17080.74,0.628329,0.837772,35270.47,-44042.17,-51242.22,,fc563e08d7f3b08c38634338c01c18960f63d114e1ab728076831e23d2a085c3
2026-04-13,2026-04-19,settled,7,0,7,-12666.46,201737.67,-1809.49,-2345.55,3,4,0.428571,4403.62,-6469.33,0.680692,0.510519,7048.43,-13311.23,-25877.31,,1b351747553d52d584d4f284e098e991767b1e8281c11a937036435cf4ae3483
2026-04-20,2026-04-26,settled,7,0,7,-7400.18,194337.49,-1057.17,4869.81,4,3,0.571429,11917.92,-18357.28,0.649220,0.865627,31695.33,-32585.71,-41873.04,,94eb41cbcf20a97391b71cdc74c48789ae810a988bd37c40698ce685fbe38068
2026-04-27,2026-05-03,settled,7,0,7,75163.34,269500.83,10737.62,-239.24,3,4,0.428571,39715.77,-10995.99,3.611840,2.708880,59770.02,-19067.04,-19067.04,0.795202,f251e194b2332e7acb1a4e79e7fd2c6178a8cd99d89108b02b4175afc44977b0
2026-05-04,2026-05-10,settled,7,0,7,7989.89,277490.72,1141.41,156.11,4,3,0.571429,9050.01,-9403.38,0.962421,1.283228,21093.99,-27641.29,-27641.29,2.640085,a8e1737e910c6bf6e0c70bc0f1383535a31e1bf06a67ecbeffe513a505338d65
2026-05-11,2026-05-17,settled,7,0,7,46070.89,323561.61,6581.56,7823.95,5,2,0.714286,13545.56,-10828.45,1.250923,3.127309,31971.32,-13771.41,-21656.89,0.693959,e1bacfacacbf86d9f1991da893c6523ef71f7d0a83ecd18e95e563868f172524
2026-05-18,2026-05-24,settled,7,0,7,48648.36,372209.97,6949.77,5385.23,7,0,1.000000,6949.77,,,,16110.97,28.34,0.00,0.331172,b3ede2659ba92f55ecde34ab32bde136eb6679fa266772c54d5403cb3793bf2c
2026-05-25,2026-05-31,settled,7,0,7,-11637.44,360572.53,-1662.49,2166.13,4,3,0.571429,6716.38,-12834.32,0.523314,0.697752,12752.98,-23744.42,-23916.56,,36ff08303b566c79efbb22ebdbb39275da194e4f9c27b94445ff5d36d4810cf2
2026-06-01,2026-06-07,settled,7,0,7,-105.41,360467.12,-15.06,-4806.11,2,5,0.285714,18209.21,-7304.76,2.492785,0.997114,31535.84,-19786.78,-36523.82,,74de75cb88bc68762c8333c8d8a1aee975c8f8e01fc8c0eb5b048f92eb5b126e
2026-06-08,2026-06-14,settled,7,0,7,3216.59,363683.71,459.51,5456.90,5,2,0.714286,8928.38,-20712.65,0.431059,1.077648,17250.88,-37673.36,-41425.30,5.363096,3eb2e5e7d8fc8a993e21053b01fa702db85b924867a7c2cf126635920df9a5cb
2026-06-15,2026-06-21,settled,7,0,7,32363.31,396047.02,4623.33,7077.87,6,1,0.857143,8436.50,-18255.70,0.462130,2.772778,21146.32,-18255.70,-18255.70,0.653404,ad835866f604a9d8177ac1274c568a7c21c8dca233af293d618bfed74b279aa3
2026-06-22,2026-06-28,settled,7,0,7,29641.68,425688.70,4234.53,6231.04,5,2,0.714286,8296.65,-5920.79,1.401275,3.503188,15142.56,-9882.10,-9882.10,0.510854,c1017990d0023ea9f1fcc2dd8adb53477d542d780a8e7117db78f932ee758c4f
2026-06-29,2026-07-05,settled,7,0,7,57619.82,483308.52,8231.40,6402.69,7,0,1.000000,8231.40,,,,18839.15,4014.37,0.00,0.326956,50d4525df195d0d66c3631b86dce22fb6c2c008f0f8e3770cd14fcc2a12cd3b0
2026-07-06,2026-07-12,settled,7,0,7,-2661.52,480647.00,-380.22,-467.80,3,4,0.428571,8098.05,-6738.92,1.201684,0.901263,12289.52,-11350.95,-26955.68,,34fd05a9fdb31f6e60a8995cc3b7c2bf8a5654e988c571ca042914647674ccb8
2026-07-13,2026-07-19,settled,7,0,7,42123.57,522770.57,6017.65,3220.12,7,0,1.000000,6017.65,,,,19153.83,337.69,0.00,0.454706,ab5f9db13a5966371545d5c53d0ba52e6796e8c4dec3e6fa448c4b1d382fbb61
2026-07-20,2026-07-26,settled,7,0,7,-105052.61,417717.96,-15007.52,4104.19,5,2,0.714286,9466.23,-76191.89,0.124242,0.310605,28928.77,-102171.13,-152383.77,,7cd5d1f6ab1d19ea00694455621a1c092600c944e55cbba44331ecb91d0030e5
